Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
2020-01-22,Kenya,0,0,0,0,0,0,0,Africa
2020-01-23,Kenya,0,0,0,0,0,0,0,Africa
2020-01-24,Kenya,0,0,0,0,0,0,0,Africa
2020-01-25,Kenya,0,0,0,0,0,0,0,Africa
2020-01-26,Kenya,0,0,0,0,0,0,0,Africa
2020-01-27,Kenya,0,0,0,0,0,0,0,Africa
2020-01-28,Kenya,0,0,0,0,0,0,0,Africa
2020-01-29,Kenya,0,0,0,0,0,0,0,Africa
2020-01-30,Kenya,0,0,0,0,0,0,0,Africa
2020-01-31,Kenya,0,0,0,0,0,0,0,Africa
2020-02-01,Kenya,0,0,0,0,0,0,0,Africa
2020-02-02,Kenya,0,0,0,0,0,0,0,Africa
2020-02-03,Kenya,0,0,0,0,0,0,0,Africa
2020-02-04,Kenya,0,0,0,0,0,0,0,Africa
2020-02-05,Kenya,0,0,0,0,0,0,0,Africa
2020-02-06,Kenya,0,0,0,0,0,0,0,Africa
2020-02-07,Kenya,0,0,0,0,0,0,0,Africa
2020-02-08,Kenya,0,0,0,0,0,0,0,Africa
2020-02-09,Kenya,0,0,0,0,0,0,0,Africa
2020-02-10,Kenya,0,0,0,0,0,0,0,Africa
2020-02-11,Kenya,0,0,0,0,0,0,0,Africa
2020-02-12,Kenya,0,0,0,0,0,0,0,Africa
2020-02-13,Kenya,0,0,0,0,0,0,0,Africa
2020-02-14,Kenya,0,0,0,0,0,0,0,Africa
2020-02-15,Kenya,0,0,0,0,0,0,0,Africa
2020-02-16,Kenya,0,0,0,0,0,0,0,Africa
2020-02-17,Kenya,0,0,0,0,0,0,0,Africa
2020-02-18,Kenya,0,0,0,0,0,0,0,Africa
2020-02-19,Kenya,0,0,0,0,0,0,0,Africa
2020-02-20,Kenya,0,0,0,0,0,0,0,Africa
2020-02-21,Kenya,0,0,0,0,0,0,0,Africa
2020-02-22,Kenya,0,0,0,0,0,0,0,Africa
2020-02-23,Kenya,0,0,0,0,0,0,0,Africa
2020-02-24,Kenya,0,0,0,0,0,0,0,Africa
2020-02-25,Kenya,0,0,0,0,0,0,0,Africa
2020-02-26,Kenya,0,0,0,0,0,0,0,Africa
2020-02-27,Kenya,0,0,0,0,0,0,0,Africa
2020-02-28,Kenya,0,0,0,0,0,0,0,Africa
2020-02-29,Kenya,0,0,0,0,0,0,0,Africa
2020-03-01,Kenya,0,0,0,0,0,0,0,Africa
2020-03-02,Kenya,0,0,0,0,0,0,0,Africa
2020-03-03,Kenya,0,0,0,0,0,0,0,Africa
2020-03-04,Kenya,0,0,0,0,0,0,0,Africa
2020-03-05,Kenya,0,0,0,0,0,0,0,Africa
2020-03-06,Kenya,0,0,0,0,0,0,0,Africa
2020-03-07,Kenya,0,0,0,0,0,0,0,Africa
2020-03-08,Kenya,0,0,0,0,0,0,0,Africa
2020-03-09,Kenya,0,0,0,0,0,0,0,Africa
2020-03-10,Kenya,0,0,0,0,0,0,0,Africa
2020-03-11,Kenya,0,0,0,0,0,0,0,Africa
2020-03-12,Kenya,0,0,0,0,0,0,0,Africa
2020-03-13,Kenya,1,0,0,1,1,0,0,Africa
2020-03-14,Kenya,1,0,0,1,0,0,0,Africa
2020-03-15,Kenya,3,0,0,3,2,0,0,Africa
2020-03-16,Kenya,3,0,0,3,0,0,0,Africa
2020-03-17,Kenya,3,0,0,3,0,0,0,Africa
2020-03-18,Kenya,3,0,0,3,0,0,0,Africa
2020-03-19,Kenya,7,0,0,7,4,0,0,Africa
2020-03-20,Kenya,7,0,0,7,0,0,0,Africa
2020-03-21,Kenya,7,0,0,7,0,0,0,Africa
2020-03-22,Kenya,15,0,0,15,8,0,0,Africa
2020-03-23,Kenya,16,0,0,16,1,0,0,Africa
2020-03-24,Kenya,25,0,0,25,9,0,0,Africa
2020-03-25,Kenya,28,0,1,27,3,0,1,Africa
2020-03-26,Kenya,31,1,1,29,3,1,0,Africa
2020-03-27,Kenya,31,1,1,29,0,0,0,Africa
2020-03-28,Kenya,38,1,1,36,7,0,0,Africa
2020-03-29,Kenya,42,1,1,40,4,0,0,Africa
2020-03-30,Kenya,50,1,1,48,8,0,0,Africa
2020-03-31,Kenya,59,1,1,57,9,0,0,Africa
2020-04-01,Kenya,81,1,3,77,22,0,2,Africa
2020-04-02,Kenya,110,3,4,103,29,2,1,Africa
2020-04-03,Kenya,122,4,4,114,12,1,0,Africa
2020-04-04,Kenya,126,4,4,118,4,0,0,Africa
2020-04-05,Kenya,142,4,4,134,16,0,0,Africa
2020-04-06,Kenya,158,6,4,148,16,2,0,Africa
2020-04-07,Kenya,172,6,7,159,14,0,3,Africa
2020-04-08,Kenya,179,6,9,164,7,0,2,Africa
2020-04-09,Kenya,184,7,12,165,5,1,3,Africa
2020-04-10,Kenya,189,7,22,160,5,0,10,Africa
2020-04-11,Kenya,191,7,24,160,2,0,2,Africa
2020-04-12,Kenya,197,8,25,164,6,1,1,Africa
2020-04-13,Kenya,208,9,40,159,11,1,15,Africa
2020-04-14,Kenya,216,9,41,166,8,0,1,Africa
2020-04-15,Kenya,225,10,53,162,9,1,12,Africa
2020-04-16,Kenya,234,11,53,170,9,1,0,Africa
2020-04-17,Kenya,246,11,53,182,12,0,0,Africa
2020-04-18,Kenya,262,12,60,190,16,1,7,Africa
2020-04-19,Kenya,270,14,67,189,8,2,7,Africa
2020-04-20,Kenya,281,14,69,198,11,0,2,Africa
2020-04-21,Kenya,296,14,74,208,15,0,5,Africa
2020-04-22,Kenya,303,14,74,215,7,0,0,Africa
2020-04-23,Kenya,320,14,89,217,17,0,15,Africa
2020-04-24,Kenya,336,14,94,228,16,0,5,Africa
2020-04-25,Kenya,343,14,98,231,7,0,4,Africa
2020-04-26,Kenya,355,14,106,235,12,0,8,Africa
2020-04-27,Kenya,363,14,114,235,8,0,8,Africa
2020-04-28,Kenya,374,14,124,236,11,0,10,Africa
2020-04-29,Kenya,384,15,129,240,10,1,5,Africa
2020-04-30,Kenya,396,17,144,235,12,2,15,Africa
2020-05-01,Kenya,411,21,150,240,15,4,6,Africa
2020-05-02,Kenya,435,22,152,261,24,1,2,Africa
2020-05-03,Kenya,465,24,167,274,30,2,15,Africa
2020-05-04,Kenya,490,24,173,293,25,0,6,Africa
2020-05-05,Kenya,535,24,182,329,45,0,9,Africa
2020-05-06,Kenya,582,26,190,366,47,2,8,Africa
2020-05-07,Kenya,607,29,197,381,25,3,7,Africa
2020-05-08,Kenya,621,29,202,390,14,0,5,Africa
2020-05-09,Kenya,649,30,207,412,28,1,5,Africa
2020-05-10,Kenya,672,32,239,401,23,2,32,Africa
2020-05-11,Kenya,700,33,251,416,28,1,12,Africa
2020-05-12,Kenya,715,36,259,420,15,3,8,Africa
2020-05-13,Kenya,737,40,281,416,22,4,22,Africa
2020-05-14,Kenya,758,42,284,432,21,2,3,Africa
2020-05-15,Kenya,781,45,284,452,23,3,0,Africa
2020-05-16,Kenya,830,50,301,479,49,5,17,Africa
2020-05-17,Kenya,887,50,313,524,57,0,12,Africa
2020-05-18,Kenya,912,50,336,526,25,0,23,Africa
2020-05-19,Kenya,963,50,358,555,51,0,22,Africa
2020-05-20,Kenya,1029,50,366,613,66,0,8,Africa
2020-05-21,Kenya,1109,50,375,684,80,0,9,Africa
2020-05-22,Kenya,1161,50,380,731,52,0,5,Africa
2020-05-23,Kenya,1192,50,380,762,31,0,0,Africa
2020-05-24,Kenya,1214,51,383,780,22,1,3,Africa
2020-05-25,Kenya,1286,52,402,832,72,1,19,Africa
2020-05-26,Kenya,1348,52,405,891,62,0,3,Africa
2020-05-27,Kenya,1471,55,408,1008,123,3,3,Africa
2020-05-28,Kenya,1618,58,421,1139,147,3,13,Africa
2020-05-29,Kenya,1745,62,438,1245,127,4,17,Africa
2020-05-30,Kenya,1888,63,464,1361,143,1,26,Africa
2020-05-31,Kenya,1962,64,478,1420,74,1,14,Africa
2020-06-01,Kenya,2021,69,482,1470,59,5,4,Africa
2020-06-02,Kenya,2093,71,499,1523,72,2,17,Africa
2020-06-03,Kenya,2216,74,553,1589,123,3,54,Africa
2020-06-04,Kenya,2340,78,592,1670,124,4,39,Africa
2020-06-05,Kenya,2474,79,643,1752,134,1,51,Africa
2020-06-06,Kenya,2600,83,706,1811,126,4,63,Africa
2020-06-07,Kenya,2767,84,752,1931,167,1,46,Africa
2020-06-08,Kenya,2872,85,849,1938,105,1,97,Africa
2020-06-09,Kenya,2989,88,873,2028,117,3,24,Africa
2020-06-10,Kenya,3094,89,1048,1957,105,1,175,Africa
2020-06-11,Kenya,3215,92,1092,2031,121,3,44,Africa
2020-06-12,Kenya,3305,96,1164,2045,90,4,72,Africa
2020-06-13,Kenya,3457,100,1221,2136,152,4,57,Africa
2020-06-14,Kenya,3594,103,1253,2238,137,3,32,Africa
2020-06-15,Kenya,3727,104,1286,2337,133,1,33,Africa
2020-06-16,Kenya,3860,105,1328,2427,133,1,42,Africa
2020-06-17,Kenya,4044,107,1353,2584,184,2,25,Africa
2020-06-18,Kenya,4257,117,1459,2681,213,10,106,Africa
2020-06-19,Kenya,4374,119,1550,2705,117,2,91,Africa
2020-06-20,Kenya,4478,121,1586,2771,104,2,36,Africa
2020-06-21,Kenya,4738,123,1607,3008,260,2,21,Africa
2020-06-22,Kenya,4797,125,1680,2992,59,2,73,Africa
2020-06-23,Kenya,4952,128,1782,3042,155,3,102,Africa
2020-06-24,Kenya,5206,130,1823,3253,254,2,41,Africa
2020-06-25,Kenya,5384,132,1857,3395,178,2,34,Africa
2020-06-26,Kenya,5533,137,1905,3491,149,5,48,Africa
2020-06-27,Kenya,5811,141,1936,3734,278,4,31,Africa
2020-06-28,Kenya,6070,143,1971,3956,259,2,35,Africa
2020-06-29,Kenya,6190,144,2013,4033,120,1,42,Africa
2020-06-30,Kenya,6366,148,2039,4179,176,4,26,Africa
2020-07-01,Kenya,6673,149,2089,4435,307,1,50,Africa
2020-07-02,Kenya,6941,152,2109,4680,268,3,20,Africa
2020-07-03,Kenya,7188,154,2148,4886,247,2,39,Africa
2020-07-04,Kenya,7577,159,2236,5182,389,5,88,Africa
2020-07-05,Kenya,7886,160,2287,5439,309,1,51,Africa
2020-07-06,Kenya,8067,164,2414,5489,181,4,127,Africa
2020-07-07,Kenya,8250,167,2504,5579,183,3,90,Africa
2020-07-08,Kenya,8528,169,2593,5766,278,2,89,Africa
2020-07-09,Kenya,8975,173,2657,6145,447,4,64,Africa
2020-07-10,Kenya,9448,181,2733,6534,473,8,76,Africa
2020-07-11,Kenya,9726,184,2832,6710,278,3,99,Africa
2020-07-12,Kenya,10105,185,2881,7039,379,1,49,Africa
2020-07-13,Kenya,10294,197,2946,7151,189,12,65,Africa
2020-07-14,Kenya,10791,202,3017,7572,497,5,71,Africa
2020-07-15,Kenya,11252,209,3068,7975,461,7,51,Africa
2020-07-16,Kenya,11673,217,3638,7818,421,8,570,Africa
2020-07-17,Kenya,12062,222,3983,7857,389,5,345,Africa
2020-07-18,Kenya,12750,225,4440,8085,688,3,457,Africa
2020-07-19,Kenya,13353,234,5122,7997,603,9,682,Africa
2020-07-20,Kenya,13771,238,5616,7917,418,4,494,Africa
